Timestamp,First and Last Name,How are you doing today?,Why are you feeling that way?
8/30/2018 9:19,42,Option 4,Option 4
8/30/2018 9:20,63,Option 4,idk
8/30/2018 9:20,84,Fair,Because I forgot my glasses 
8/30/2018 9:21,40,Option 4,Because schools boring
8/30/2018 9:21,45,Good,I missed Breakfast
8/30/2018 9:21,67,Good,Not really sure.
8/30/2018 9:21,70,Option 4,because it felt like a symbol for me
8/30/2018 9:21,95,Fair,I am kind of tired and not very energetic like normally.
8/30/2018 9:21,111,Option 4,I'm sore and tired from football practice. My teeth also hurt from the procedure i'm starting for my braces.
8/30/2018 9:22,28,Good,I feel good because nothing has gone wrong today.
8/30/2018 9:22,30,Option 4,Because everything right now feels just really uncomfortable. And I'm tired.
8/30/2018 9:22,34,Good,im tiered
8/30/2018 9:22,86,Excellent!,"I feel excellent, because it's a brand new day and nothing has really gone wrong."
8/30/2018 9:22,114,Fair,I feel alright because I had a bit of a bad morning today.
8/30/2018 9:23,69,Option 4,I feel excellent without an exclamation point.
8/30/2018 9:23,93,Excellent!,I feel excellent because I am ready for the day to start. 
8/30/2018 9:25,27,Fair,Because it's early.
8/30/2018 10:17,10,Fair,I don't want to be at school and I have a sore throat.
8/30/2018 10:17,50,Excellent!,Because every day is a new day
8/30/2018 10:17,62,Good,I am anxious for the weekend.
8/30/2018 10:17,71,Good,Im tired and at school
8/30/2018 10:17,123,Option 4,Option 4 perfectly describes my day so far but it may become good in 4th period.
8/30/2018 10:18,39,Excellent!,I rode the bus today
8/30/2018 10:18,59,Option 4,it just that day.
8/30/2018 10:18,72,Fair,I am a bit tired
8/30/2018 10:18,91,Good,I'm really tired and feel like sleeping.
8/30/2018 10:18,100,Fair,The weekend is coming soon
8/30/2018 10:18,112,Good,because i'm tired
8/30/2018 10:19,26,Option 4,i'm kinda sick
8/30/2018 10:19,57,Excellent!,Because my mother made me lunch
8/30/2018 10:19,76,Option 4,"I'm option 4 because none of my classes have been fun so far, plus I don't really wanna be here at school."
8/30/2018 10:19,82,Excellent!,I have Digital Design for 3rd
8/30/2018 10:20,124,Option 4,Because I can feel that way.
8/30/2018 10:21,113,Good,I started the morning off great and played games with friends in 2nd period.
8/30/2018 11:07,24,Excellent!,It's just that kinda of day.
8/30/2018 11:07,44,Good,We got assigned seat on reading and my partner doesn't like me
8/30/2018 11:07,74,Good,I feel that way because nothing bad is happening.
8/30/2018 11:07,120,Excellent!,because i feel excellent
8/30/2018 11:07,126,Fair,I'm feeling this way because i'm in school
