Timestamp,Name,How are you doing today?,Why do you feel that way?
1/16/2020 15:02,3,Excellent,I am feeling excellent today because I reconnected with my best friend from 4th and 5th grade!
9/17/2019 15:05,3,Excellent,"Cause I got to see my girlfriend heading to this class and I got to be a mega crackhead during math (I don't actually do crack, it's just a way to express our hyper levels). "
8/22/2019 15:08,3,Fair,I'm tired from gym and having to run to certain classes. Not to mention that I went to a gym yesterday night.
8/23/2019 15:00,3,Fair,I feel really tired and that kinda ruins the rest of my day.
8/26/2019 15:10,3,Fair,I feel annoyed and tired because we had to do a fire drill TWICE and Ms. Stubbins annoys me really easily.
8/27/2019 15:00,3,Fair,"I feel terrible but ""Fair"" is the least happy option I had, last night I had a breakdown and it's bummed me out for a while."
9/4/2019 15:01,3,Fair,"My head is very full with special someone, it distracts me at school and doesn't let me get what I need done, done; I'm not mad though."
9/6/2019 12:48,3,Good,I am feeling pretty good cause I haven't had my random wave of depression (my sad hours) but I really wanna hang out with my girlfriend but we don't have a lot of classes together so it makes it difficult.
1/7/2020 14:58,3,Option 306,I am feeling option 306 because life sucks and so do relationships.
1/8/2020 14:59,3,Option 306,I feel option 306 because I am the worlds biggest gay.
1/9/2020 15:01,3,Option 306,I am feeling option 306 because I was looking at other people's art and it looked really cool.
1/10/2020 14:58,3,Option 306,I am feeling option 306 because I have chosen this option for a few months straight and I'm quite proud of myself.
1/13/2020 14:57,3,Option 306,I am feeling option 306 because I've been wanting to die the entire day. 
1/14/2020 15:37,3,Option 306,I am feeling option 306 because I feel bad for not being in class.
1/17/2020 14:58,3,Option 306,"I am feeling option 306 because I broke my record of doing ""option 306"" yesterday."
1/21/2020 14:59,3,Option 306,I am feeling option 306 because I sent some lyrics to song I made for someone to that person and I was super nervous about it and I still feel weird.
1/22/2020 14:59,3,Option 306,I am feeling option 306 because I'm tired of how my mom's been treating me lately.
1/24/2020 15:07,3,Option 306,I am feeling option 306 because I've been pretty stressed all day.
1/27/2020 15:00,3,Option 306,"I am feeling option 306 because I am now a single, depressed, Pringle."
1/28/2020 14:58,3,Option 306,I am feeling option 306 because I've just been feeling sad and angry all the time for no particular reason.
1/30/2020 15:00,3,Option 306,I am feeling option 306 because I'm dangerously close to doing a not good thing. Today has just sucked onion.
2/3/2020 14:57,3,Option 306,I am feeling option 306 because I have been super stressed out lately.
2/10/2020 14:56,3,Option 306,I am feeling option 306 because I have just been having a rough day.
2/11/2020 15:00,3,Option 306,"I am feeling option 306 because my brain is not here, it's in a different universe."
2/12/2020 14:57,3,Option 306,I am feeling option 306 because I'e been feeling really sad for no apparent reason.
2/28/2020 14:58,3,Option 306,I am feeling option 306 because of things I can't discuss.
2/14/2020 13:15,3,Option 306,I option 306 because I'm going to hang out with my friends at the dance and then go over to my friend Saige's house.
2/18/2020 14:56,3,Option 306,I am feeling option 306 because I can't stop disassociating.
2/21/2020 15:01,3,Option 306,I am feeling option 306 because my voice is absolutely dead.
2/24/2020 14:55,3,Option 306,I am feeling option 306 because I've been having a rough time lately and things just seem to be getting worse and worse every second of every day.
2/26/2020 14:56,3,Option 306,"I am feeling option 306 because I've been having migraines but me and a friend of mine, Atticus, made me laugh until I cried."
2/27/2020 14:59,3,Option 306,I am feeling option 306 because I've been getting migraines and I've been falling asleep in class which prevents me from getting work done.
2/28/2020 15:00,3,Option 306,I am feeling option 306 because I have another migraine.
3/2/2020 14:55,3,Option 306,I am feeling option 306 because I miss my boyfriend a lot.
3/3/2020 14:58,3,Option 306,I am feeling option 306 because I finally got a good grade in Mrs. Stubbins' class.
3/4/2020 14:59,3,Option 306,I am feeling option 306 because I've been feeling pretty sad lately.
8/28/2019 15:02,3,Option 306,I had an argument with my Mom this morning.
